index,color,root&base,knock_voice,stripe,navel,touch_feel,density,sugar_content,good_melon
1,green,curl,sonant,clearness,pit,hard&slip,0.697,0.460,yes
2,black,curl,tediousness,clearness,pit,hard&slip,0.774,0.376,yes
3,black,curl,sonant,clearness,pit,hard&slip,0.634,0.264,yes
4,green,curl,tediousness,clearness,pit,hard&slip,0.608,0.318,yes
5,white,curl,sonant,clearness,pit,hard&slip,0.556,0.215,yes
6,green,little curl,sonant,clearness,little pit,soft&sticky,0.403,0.237,yes
7,black,little curl,sonant,little mistiness,little pit,soft&sticky,0.481,0.149,yes
8,black,little curl,sonant,clearness,little pit,hard&slip,0.437,0.211,yes
9,black,little curl,tediousness,little mistiness,little pit,hard&slip,0.666,0.091,no
10,green,rigid,silvery,clearness,flat,soft&sticky,0.243,0.267,no
11,white,rigid,silvery,mistiness,flat,hard&slip,0.245,0.057,no
12,white,rigid,sonant,mistiness,flat,soft&sticky,0.343,0.099,no
13,green,little curl,sonant,little mistiness,pit,hard&slip,0.639,0.161,no
14,white,little curl,tediousness,little mistiness,pit,hard&slip,0.657,0.198,no
15,black,little curl,sonant,clearness,little pit,soft&sticky,0.360,0.370,no
16,white,curl,sonant,mistiness,flat,hard&slip,0.593,0.042,no
17,green,curl,tediousness,little mistiness,pit,hard&slip,0.719,0.103,no
